dataset_id,dataset,opponent,opponent_label,judge_count,comparisons_per_judge_min,comparisons_per_judge_max,ours_winrate_mean,ours_winrate_std,ours_winrate_mean_pct,ours_winrate_std_pct
biomni-base,Biomni,grasp,GRASP,2,106,106,0.8938679245283019,0.11006850839224562,89.38679245283019,11.006850839224562
biomni-base,Biomni,hipporag,HippoRAG,2,106,106,0.8655660377358491,0.05670195886873261,86.55660377358491,5.670195886873261
biomni-base,Biomni,hypergraphrag,HyperGRAG,2,106,106,0.6320754716981132,0.13341637380878252,63.20754716981132,13.341637380878252
biomni-base,Biomni,llmbased,GWB,2,106,106,0.9150943396226415,0.09339146166614777,91.50943396226415,9.339146166614777
biomni-base,Biomni,vectorsimilarity,VSB,2,106,106,0.8490566037735849,0.1467580111896609,84.90566037735849,14.675801118966088
chatbs-base,ChatBS,grasp,GRASP,3,103,103,0.8608414239482202,0.04350915747491509,86.08414239482201,4.350915747491509
chatbs-base,ChatBS,hipporag,HippoRAG,3,103,103,0.8883495145631067,0.06847930087216454,88.83495145631068,6.847930087216454
chatbs-base,ChatBS,hypergraphrag,HyperGRAG,3,103,103,0.6521035598705501,0.0752557666940679,65.21035598705501,7.5255766694067905
chatbs-base,ChatBS,llmbased,GWB,3,103,103,0.9029126213592233,0.05405596468767015,90.29126213592234,5.405596468767015
chatbs-base,ChatBS,vectorsimilarity,VSB,3,103,103,0.8333333333333334,0.04664574532491772,83.33333333333334,4.664574532491772
